,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
188,Coromandel Int,794.20,17.08,0.00,45.34,175.55,"1,323.00",12.00,9.31,25.80,NIFTY,COMMODITIES,,,,
189,Dalmia Bharat,"1,990.95",24.20,0.23,65.65,684.49,"1,243.00",1.33,11.81,9.74,NIFTY,COMMODITIES,,,,
190,Grasim,"1,792.65",22.12,0.95,65.57,"1,558.52","6,560.00",9.00,8.89,6.57,NIFTY,COMMODITIES,,,,
191,Hindalco,445.40,20.87,0.98,15.66,299.73,"5,177.00",3.00,2.63,5.23,NIFTY,COMMODITIES,,,,
192,HPCL,326.00,3.32,1.12,70.57,262.19,"10,524.00",22.75,4.51,28.00,NIFTY,COMMODITIES,,,,
193,Hind Zinc,332.65,14.45,0.20,18.89,76.48,"7,980.00",21.30,35.26,24.69,NIFTY,COMMODITIES,,,,
194,IOC,128.45,3.90,0.97,23.57,122.88,"20,565.00",12.00,5.65,19.34,NIFTY,COMMODITIES,,,,
195,Jindal Steel,381.90,9.64,0.68,35.63,303.30,"5,526.00",0.00,10.94,11.42,NIFTY,COMMODITIES,,,,
196,JSW Steel,662.35,14.23,1.11,32.91,152.80,"7,872.00",6.50,9.85,16.91,NIFTY,COMMODITIES,,,,
197,NMDC,138.20,6.54,0.07,20.70,102.02,"6,247.00",7.76,40.64,21.00,NIFTY,COMMODITIES,,,,
198,NTPC,136.45,7.17,1.57,14.87,133.31,"14,285.00",6.15,12.80,11.63,NIFTY,COMMODITIES,,,,
199,ONGC,157.40,7.91,0.50,12.92,192.84,"20,324.00",3.60,6.68,7.35,NIFTY,COMMODITIES,,,,
200,PI Industries,"2,897.20",45.24,0.05,49.92,351.47,733.00,5.00,16.03,13.81,NIFTY,COMMODITIES,,,,
201,Pidilite Ind,"2,414.45",81.28,0.04,22.26,114.78,"1,122.00",8.50,15.38,20.22,NIFTY,COMMODITIES,,,,
202,Reliance,"2,464.00",26.23,0.32,76.37,"1,240.39","53,223.00",7.00,11.39,7.01,NIFTY,COMMODITIES,,,,
203,Shree Cements,"27,691.05",46.51,0.12,633.54,"4,281.75","2,289.00",60.00,16.98,14.84,NIFTY,COMMODITIES,,,,
204,Tata Power,249.90,32.57,1.85,3.17,74.32,611.00,1.55,1.74,5.41,NIFTY,COMMODITIES,,,,
205,Tata Steel,"1,220.05",12.73,1.11,63.78,640.69,"7,862.00",25.00,5.03,10.19,NIFTY,COMMODITIES,,,,
206,Ramco Cements,"1,021.90",29.49,0.54,34.00,243.24,763.00,3.00,14.43,13.67,NIFTY,COMMODITIES,,,,
207,Torrent Power,540.60,15.78,0.66,26.86,212.65,"1,295.00",11.00,10.64,12.67,NIFTY,COMMODITIES,,,,
208,UltraTechCement,"7,857.70",35.58,0.40,189.40,"1,530.59","5,316.00",37.00,12.20,12.36,NIFTY,COMMODITIES,,,,
209,UPL,755.60,17.63,1.32,36.40,282.27,"3,453.00",10.00,8.92,16.03,NIFTY,COMMODITIES,,,,
210,Vedanta,338.20,7.30,0.80,31.32,208.11,"15,033.00",9.50,17.07,18.62,NIFTY,COMMODITIES,,,,
211,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,NIFTY,CONSUMPTION,
212,Apollo Hospital,"5,733.95",270.27,0.54,10.74,333.96,136.00,3.00,1.28,3.26,NIFTY,CONSUMPTION,,,,
213,Asian Paints,"3,230.25",77.53,0.03,32.73,137.92,"3,178.00",17.85,14.63,24.51,NIFTY,CONSUMPTION,,,,
214,Avenue Supermar,"5,126.40",168.48,0.00,16.97,188.09,"1,099.00",0.00,4.55,9.02,NIFTY,CONSUMPTION,,,,
215,Bajaj Auto,"3,583.80",21.86,0.00,167.90,942.51,"4,550.00",140.00,16.40,17.80,NIFTY,CONSUMPTION,,,,
216,Berger Paints,792.15,103.24,0.11,7.41,34.84,725.00,2.80,10.63,21.31,NIFTY,CONSUMPTION,,,,
217,Bharti Airtel,720.05,-18.36,2.20,-27.65,147.90,"-23,327.00",0.00,-12.19,-25.58,NIFTY,CONSUMPTION,,,,
218,Britannia,"3,615.05",46.82,0.59,77.43,148.78,"1,849.00",157.50,14.08,52.53,NIFTY,CONSUMPTION,,,,
219,Colgate,"1,484.15",40.96,0.00,38.07,42.86,"1,035.00",38.00,21.38,88.80,NIFTY,CONSUMPTION,,,,
220,CG Consumer,458.45,39.93,0.15,9.83,30.77,616.00,5.50,12.83,31.92,NIFTY,CONSUMPTION,,,,
221,Dabur India,608.00,56.42,0.06,9.58,43.57,"1,695.00",4.75,17.76,22.09,NIFTY,CONSUMPTION,,,,
222,Eicher Motors,"2,674.20",52.82,0.01,49.30,418.52,"1,315.00",17.00,15.08,11.77,NIFTY,CONSUMPTION,,,,
223,Godrej Consumer,921.65,43.35,0.08,16.83,92.31,"1,720.00",0.00,15.60,18.23,NIFTY,CONSUMPTION,,,,
224,Havells India,"1,375.25",62.97,0.08,16.68,82.69,"1,044.00",6.50,9.98,20.17,NIFTY,CONSUMPTION,,,,
225,Hero Motocorp,"2,749.35",19.95,0.02,146.07,778.76,"2,982.00",105.00,9.63,18.92,NIFTY,CONSUMPTION,,,,
226,HUL,"2,391.15",71.45,0.00,34.03,202.95,"8,000.00",31.00,17.00,16.77,NIFTY,CONSUMPTION,,,,
227,Info Edge,"6,545.00",38.39,0.00,111.51,430.92,"1,620.00",0.00,144.68,25.77,NIFTY,CONSUMPTION,,,,
228,Interglobe Avi,"2,332.00",-10.82,23.87,-150.89,2.73,"-5,806.00",0.00,-39.65,"-5,530.98",NIFTY,CONSUMPTION,,,,
229,ITC,239.50,20.42,0.00,10.70,49.31,"13,389.00",10.75,27.17,21.80,NIFTY,CONSUMPTION,,,,
230,Jubilant Food,"3,922.25",165.87,0.00,17.55,108.83,230.00,6.00,6.96,16.23,NIFTY,CONSUMPTION,,,,
231,M&M,954.45,48.70,1.43,16.33,456.20,"2,425.00",8.75,0.31,4.35,NIFTY,CONSUMPTION,,,,
232,Marico,551.75,45.30,0.11,9.08,25.26,"1,201.00",7.50,14.92,36.17,NIFTY,CONSUMPTION,,,,
233,Maruti Suzuki,"8,274.75",47.21,0.01,145.30,"1,738.43","4,220.00",45.00,5.99,8.36,NIFTY,CONSUMPTION,,,,
234,Nestle,"19,477.05",0.00,0.02,215.98,209.43,"2,082.00",200.00,15.59,103.12,NIFTY,CONSUMPTION,,,,
235,Page Industries,"40,966.05",99.29,0.00,305.35,793.33,340.00,250.00,12.02,38.48,NIFTY,CONSUMPTION,,,,
236,TATA,Cons.,Prod,836.40,68.70,0.05,9.30,169.33,993.00,4.05,8.56,5.90,NIFTY,CONSUMPTION,,
237,Titan Company,"2,499.35",142.16,0.58,10.96,84.29,979.00,4.00,4.52,12.97,NIFTY,CONSUMPTION,,,,
238,Trent,"1,153.20",-182.74,0.00,-4.11,66.32,-109.00,0.60,-4.23,-6.31,NIFTY,CONSUMPTION,,,,
239,United Spirits,928.35,102.84,0.21,5.41,55.87,363.00,0.00,4.46,9.31,NIFTY,CONSUMPTION,,,,
240,Voltas,"1,235.45",63.13,0.05,15.87,152.04,589.00,5.00,7.80,10.51,NIFTY,CONSUMPTION,,,,
241,Zee Entertain,320.20,24.39,0.00,8.33,105.18,793.00,2.50,10.26,7.92,NIFTY,CONSUMPTION,,,,
242,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,NIFTY,PSE,
243,Bharat Elec,215.45,14.51,0.00,8.62,45.45,"2,069.00",4.00,14.66,18.97,NIFTY,PSE,,,,
244,BHEL,64.05,-6.29,0.19,-7.75,74.59,"-2,743.00",0.00,-15.85,-10.38,NIFTY,PSE,,,,
245,BPCL,413.80,5.23,0.75,81.87,255.89,"17,645.00",79.00,7.66,30.18,NIFTY,PSE,,,,
246,Coal India,156.10,6.32,0.16,20.61,59.97,"12,705.00",16.00,14.11,34.77,NIFTY,PSE,,,,
247,Container Corp,665.25,72.75,0.01,8.22,168.90,469.00,5.00,7.30,4.95,NIFTY,PSE,,,,
248,GAIL,145.00,9.96,0.13,13.61,119.99,"4,428.00",5.00,7.71,11.53,NIFTY,PSE,,,,
249,Hindustan Aeron,"1,406.10",10.27,0.00,96.87,461.02,"3,234.00",30.00,14.21,21.01,NIFTY,PSE,,,,
250,HPCL,326.00,3.32,1.12,70.57,262.19,"10,524.00",22.75,4.51,28.00,NIFTY,PSE,,,,
251,IOC,128.45,3.90,0.97,23.57,122.88,"20,565.00",12.00,5.65,19.34,NIFTY,PSE,,,,
252,IRCTC,903.60,148.02,0.00,11.87,91.68,189.00,2.50,24.25,12.94,NIFTY,PSE,,,,
253,NALCO,98.75,7.75,0.00,6.97,58.14,"1,299.00",3.50,14.51,12.16,NIFTY,PSE,,,,
254,NHPC,33.15,8.07,0.66,3.03,35.76,"3,587.00",1.60,37.18,9.84,NIFTY,PSE,,,,
255,NMDC,138.20,6.54,0.07,20.70,102.02,"6,247.00",7.76,40.64,21.00,NIFTY,PSE,,,,
256,NTPC,136.45,7.17,1.57,14.87,133.31,"14,285.00",6.15,12.80,11.63,NIFTY,PSE,,,,
257,ONGC,157.40,7.91,0.50,12.92,192.84,"20,324.00",3.60,6.68,7.35,NIFTY,PSE,,,,
258,Oil India,220.00,3.77,0.82,32.53,228.79,"3,617.00",5.00,16.08,14.90,NIFTY,PSE,,,,
259,Power Finance,131.85,2.56,10.86,44.50,309.80,"15,709.00",10.00,21.92,19.33,NIFTY,PSE,,,,
260,Power Grid Corp,191.05,7.03,1.87,23.01,133.68,"11,821.00",12.00,29.82,17.21,NIFTY,PSE,,,,
261,REC,138.40,3.09,7.63,42.42,218.77,"8,380.00",12.71,23.57,19.39,NIFTY,PSE,,,,
262,SAIL,113.65,8.45,0.82,9.32,105.30,"3,850.00",0.00,5.57,8.85,NIFTY,PSE,,,,
263,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,NIFTY,SERV,SECTOR
264,Adani Green Ene,"1,313.50","1,624.78",27.22,0.68,5.03,176.00,0.00,5.63,24.39,NIFTY,SERV,SECTOR,,,
265,Adani Ports,735.55,28.58,1.09,24.58,157.16,"5,063.00",5.00,40.34,16.39,NIFTY,SERV,SECTOR,,,
266,Avenue Supermar,"5,126.40",168.48,0.00,16.97,188.09,"1,099.00",0.00,4.55,9.02,NIFTY,SERV,SECTOR,,,
267,Axis Bank,712.35,28.83,0.00,24.19,338.13,"7,252.00",0.00,11.20,6.94,NIFTY,SERV,SECTOR,,,
268,Bajaj Finance,"7,607.65",69.99,3.57,73.58,613.67,"4,419.00",10.00,16.57,11.97,NIFTY,SERV,SECTOR,,,
269,Bajaj Finserv,"18,255.40",34.42,3.57,280.90,"3,663.06","7,367.00",3.00,12.15,12.47,NIFTY,SERV,SECTOR,,,
270,Bandhan Bank,311.20,24.74,0.00,13.70,108.09,"2,205.00",0.00,17.60,12.66,NIFTY,SERV,SECTOR,,,
271,Bharti Airtel,720.05,-18.36,2.20,-27.65,147.90,"-23,327.00",0.00,-12.19,-25.58,NIFTY,SERV,SECTOR,,,
272,GAIL,145.00,9.96,0.13,13.61,119.99,"4,428.00",5.00,7.71,11.53,NIFTY,SERV,SECTOR,,,
273,HCL Tech,"1,152.45",23.93,0.06,41.07,221.30,"11,169.00",10.00,14.81,18.60,NIFTY,SERV,SECTOR,,,
274,HDFC Bank,"1,530.80",25.81,0.00,57.88,380.59,"31,857.00",6.50,24.78,15.17,NIFTY,SERV,SECTOR,,,
275,HDFC Life,711.05,103.29,0.05,6.74,55.38,"1,360.00",0.00,81.04,12.15,NIFTY,SERV,SECTOR,,,
276,HDFC,"2,948.40",23.66,2.85,105.59,918.08,"13,566.00",23.00,9.75,11.95,NIFTY,SERV,SECTOR,,,
277,ICICI Bank,761.30,21.35,0.00,27.26,223.31,"20,220.00",0.00,22.83,11.90,NIFTY,SERV,SECTOR,,,
278,ICICI Lombard,"1,529.00",44.22,0.06,32.41,178.53,"1,473.00",8.00,59.87,18.15,NIFTY,SERV,SECTOR,,,
279,ICICI Prudentia,643.25,66.91,0.10,6.66,84.28,956.00,2.00,34.69,7.90,NIFTY,SERV,SECTOR,,,
280,IndusInd Bank,"1,034.00",23.84,0.00,40.03,558.43,"2,930.00",0.00,10.10,6.78,NIFTY,SERV,SECTOR,,,
281,Info Edge,"6,545.00",38.39,0.00,111.51,430.92,"1,620.00",0.00,144.68,25.77,NIFTY,SERV,SECTOR,,,
282,Infosys,"1,787.45",29.99,0.00,45.61,180.75,"19,423.00",27.00,19.33,25.34,NIFTY,SERV,SECTOR,,,
283,Kotak Mahindra,"2,053.10",34.69,0.00,50.53,425.56,"9,903.00",0.00,30.17,11.84,NIFTY,SERV,SECTOR,,,
284,NTPC,136.45,7.17,1.57,14.87,133.31,"14,285.00",6.15,12.80,11.63,NIFTY,SERV,SECTOR,,,
285,Petronet LNG,228.05,11.47,0.00,19.59,78.71,"2,920.00",11.50,11.22,24.89,NIFTY,SERV,SECTOR,,,
286,Power Grid Corp,191.05,7.03,1.87,23.01,133.68,"11,821.00",12.00,29.82,17.21,NIFTY,SERV,SECTOR,,,
287,SBI Life Insura,"1,187.20",60.50,0.00,14.56,104.00,"1,455.00",2.50,61.49,13.99,NIFTY,SERV,SECTOR,,,
288,Shriram Trans,"1,630.85",14.02,4.89,101.44,858.19,"2,487.00",18.00,14.27,11.50,NIFTY,SERV,SECTOR,,,
289,SBI,498.15,14.51,0.00,25.11,282.35,"22,912.00",4.00,8.73,8.89,NIFTY,SERV,SECTOR,,,
290,TCS,"3,521.90",36.65,0.00,86.71,235.43,"32,562.00",38.00,19.83,37.52,NIFTY,SERV,SECTOR,,,
291,Tech Mahindra,"1,618.45",19.58,0.07,50.64,288.78,"4,351.00",45.00,11.49,17.81,NIFTY,SERV,SECTOR,,,
292,Wipro,661.80,21.67,0.12,19.11,100.48,"10,855.00",1.00,17.52,19.66,NIFTY,SERV,SECTOR,,,
293,Zee Entertain,320.20,24.39,0.00,8.33,105.18,793.00,2.50,10.26,7.92,NIFTY,SERV,SECTOR,,,
294,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,Nifty,FinSrv25/50,
295,Axis Bank,712.35,28.83,0.00,24.19,338.13,"7,252.00",0.00,11.20,6.94,Nifty,FinSrv25/50,,,,
296,Bajaj Finance,"7,607.65",69.99,3.57,73.58,613.67,"4,419.00",10.00,16.57,11.97,Nifty,FinSrv25/50,,,,
297,Bajaj Finserv,"18,255.40",34.42,3.57,280.90,"3,663.06","7,367.00",3.00,12.15,12.47,Nifty,FinSrv25/50,,,,
298,Bajaj Holdings,"4,929.70",10.04,0.00,327.90,"3,964.20",208.00,40.00,52.25,9.82,Nifty,FinSrv25/50,,,,
299,Chola,Invest.,626.35,0.00,6.64,18.55,117.02,"1,521.00",2.00,15.88,15.84,Nifty,FinSrv25/50,,,
300,HDFC AMC,"2,647.65",46.87,0.00,62.28,224.28,"1,325.00",34.00,71.56,27.75,Nifty,FinSrv25/50,,,,
301,HDFC Bank,"1,530.80",25.81,0.00,57.88,380.59,"31,857.00",6.50,24.78,15.17,Nifty,FinSrv25/50,,,,
302,HDFC Life,711.05,103.29,0.05,6.74,55.38,"1,360.00",0.00,81.04,12.15,Nifty,FinSrv25/50,,,,
303,HDFC,"2,948.40",23.66,2.85,105.59,918.08,"13,566.00",23.00,9.75,11.95,Nifty,FinSrv25/50,,,,
304,ICICI Bank,761.30,21.35,0.00,27.26,223.31,"20,220.00",0.00,22.83,11.90,Nifty,FinSrv25/50,,,,
305,ICICI Lombard,"1,529.00",44.22,0.06,32.41,178.53,"1,473.00",8.00,59.87,18.15,Nifty,FinSrv25/50,,,,
306,ICICI Prudentia,643.25,66.91,0.10,6.66,84.28,956.00,2.00,34.69,7.90,Nifty,FinSrv25/50,,,,
307,Kotak Mahindra,"2,053.10",34.69,0.00,50.53,425.56,"9,903.00",0.00,30.17,11.84,Nifty,FinSrv25/50,,,,
308,M&M Financial,179.10,28.46,4.13,6.99,128.86,740.00,0.80,6.14,4.90,Nifty,FinSrv25/50,,,,
309,Piramal Enter,"2,573.00",31.20,0.97,56.19,"1,490.21","1,074.00",33.00,8.38,4.10,Nifty,FinSrv25/50,,,,
310,Power Finance,131.85,2.56,10.86,44.50,309.80,"15,709.00",10.00,21.92,19.33,Nifty,FinSrv25/50,,,,
311,REC,138.40,3.09,7.63,42.42,218.77,"8,380.00",12.71,23.57,19.39,Nifty,FinSrv25/50,,,,
312,SBI Life Insura,"1,187.20",60.50,0.00,14.56,104.00,"1,455.00",2.50,61.49,13.99,Nifty,FinSrv25/50,,,,
313,Shriram Trans,"1,630.85",14.02,4.89,101.44,858.19,"2,487.00",18.00,14.27,11.50,Nifty,FinSrv25/50,,,,
314,SBI,498.15,14.51,0.00,25.11,282.35,"22,912.00",4.00,8.73,8.89,Nifty,FinSrv25/50,,,,
315,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,Nifty,Consr,Durbl
316,Amber Enterpris,"3,389.10",132.85,0.22,24.96,486.92,83.00,0.00,2.74,5.08,Nifty,Consr,Durbl,,,
317,Bata India,"2,174.35",-202.33,0.00,-6.95,136.79,-89.00,4.00,-5.22,-5.07,Nifty,Consr,Durbl,,,
318,Blue Star,"1,002.70",89.65,0.51,10.42,92.20,98.00,0.00,2.29,11.33,Nifty,Consr,Durbl,,,
319,CG Consumer,458.45,39.93,0.15,9.83,30.77,616.00,5.50,12.83,31.92,Nifty,Consr,Durbl,,,
320,Dixon Technolog,"5,449.10",133.58,0.21,27.49,125.93,159.00,1.00,2.47,21.67,Nifty,Consr,Durbl,,,
321,Havells India,"1,375.25",62.97,0.08,16.68,82.69,"1,044.00",6.50,9.98,20.17,Nifty,Consr,Durbl,,,
322,Kajaria Ceramic,"1,175.25",47.85,0.05,19.37,121.52,308.00,10.00,11.10,16.48,Nifty,Consr,Durbl,,,
323,Orient Electric,380.55,55.22,0.03,5.64,21.47,119.00,2.00,5.89,26.27,Nifty,Consr,Durbl,,,
324,Rajesh Exports,741.25,13.41,0.12,40.84,356.77,"1,205.00",1.00,0.61,11.44,Nifty,Consr,Durbl,,,
325,Relaxo Footwear,"1,362.55",74.65,0.00,11.74,63.30,291.00,2.50,12.35,18.54,Nifty,Consr,Durbl,,,
326,Titan Company,"2,499.35",142.16,0.58,10.96,84.29,979.00,4.00,4.52,12.97,Nifty,Consr,Durbl,,,
327,TTK Prestige,"11,006.50",41.37,0.03,175.23,"1,084.31",242.00,50.00,10.82,15.75,Nifty,Consr,Durbl,,,
328,V-Guard Ind,251.50,53.92,0.01,4.68,28.27,201.00,1.20,7.41,16.57,Nifty,Consr,Durbl,,,
329,Voltas,"1,235.45",63.13,0.05,15.87,152.04,589.00,5.00,7.80,10.51,Nifty,Consr,Durbl,,,
330,Whirlpool,"2,311.75",80.30,0.00,27.73,225.29,333.00,5.00,5.64,12.30,Nifty,Consr,Durbl,,,
331,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,Nifty,Healthcare,
332,Abbott India,"19,664.90",46.10,0.00,325.04,"1,224.55",690.00,275.00,16.02,26.54,Nifty,Healthcare,,,,
333,Alkem Lab,"3,476.90",20.89,0.23,132.57,632.20,"1,617.00",30.00,18.24,21.48,Nifty,Healthcare,,,,
334,Apollo Hospital,"5,733.95",270.27,0.54,10.74,333.96,136.00,3.00,1.28,3.26,Nifty,Healthcare,,,,
335,Aurobindo Pharm,666.55,9.68,0.23,91.05,374.28,"5,389.00",4.00,21.75,24.32,Nifty,Healthcare,,,,
336,Biocon,376.40,65.53,0.47,6.24,70.09,925.00,0.00,12.88,9.83,Nifty,Healthcare,,,,
337,Cadila Health,472.10,21.16,0.28,20.84,145.80,"2,137.00",3.50,14.15,16.42,Nifty,Healthcare,,,,
338,Cipla,905.35,27.33,0.08,29.82,230.46,"2,401.00",5.00,12.53,13.12,Nifty,Healthcare,,,,
339,Divis Labs,"4,763.85",48.47,0.00,74.75,350.15,"1,984.00",20.00,28.47,21.34,Nifty,Healthcare,,,,
340,Dr Lal PathLab,"3,651.85",76.62,0.00,35.33,153.10,296.00,20.00,18.74,23.42,Nifty,Healthcare,,,,
341,Dr Reddys Labs,"4,768.30",38.38,0.17,117.67,"1,060.20","1,903.00",25.00,9.99,11.06,Nifty,Healthcare,,,,
342,Fortis Health,286.20,-137.34,0.19,-1.45,88.98,-103.00,0.00,-2.57,-1.79,Nifty,Healthcare,,,,
343,Glenmark,501.40,7.95,0.24,58.46,524.84,"1,649.00",2.50,21.79,11.13,Nifty,Healthcare,,,,
344,Ipca Labs,"2,097.10",21.13,0.04,90.11,371.79,"1,148.00",8.00,21.19,24.24,Nifty,Healthcare,,,,
345,Laurus Labs,484.00,19.72,0.51,18.36,48.47,983.00,2.00,20.43,37.86,Nifty,Healthcare,,,,
346,Lupin,910.15,38.02,0.22,26.84,305.45,"1,226.00",6.50,8.08,8.81,Nifty,Healthcare,,,,
347,Natco Pharma,821.35,34.11,0.06,24.20,225.94,442.00,5.25,21.55,10.69,Nifty,Healthcare,,,,
348,Pfizer,"5,060.45",41.60,0.00,108.77,523.07,497.00,35.00,22.22,20.79,Nifty,Healthcare,,,,
349,Sanofi India,"8,350.65",0.00,0.00,207.38,921.30,477.00,365.00,16.45,22.53,Nifty,Healthcare,,,,
350,Sun Pharma,791.35,49.40,0.07,12.10,206.23,"2,284.00",7.50,6.82,6.24,Nifty,Healthcare,,,,
351,Torrent Pharma,"2,834.40",34.40,0.62,73.98,344.90,"1,251.00",35.00,15.63,21.44,Nifty,Healthcare,,,,
352,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,Nifty,OilGas,
353,Adani Total Gas,"1,636.20",228.33,0.22,4.21,17.58,471.00,0.25,27.83,23.93,Nifty,OilGas,,,,
354,BPCL,413.80,5.23,0.75,81.87,255.89,"17,645.00",79.00,7.66,30.18,Nifty,OilGas,,,,
355,Castrol,133.50,0.00,0.00,5.89,14.30,582.00,5.50,19.45,41.21,Nifty,OilGas,,,,
356,GAIL,145.00,9.96,0.13,13.61,119.99,"4,428.00",5.00,7.71,11.53,Nifty,OilGas,,,,
357,Gujarat Gas,658.05,29.60,0.17,18.56,65.54,"1,275.00",2.00,12.94,28.32,Nifty,OilGas,,,,
358,Guj State Petro,320.55,9.60,0.24,28.48,149.92,"2,153.00",2.00,18.67,25.14,Nifty,OilGas,,,,
359,Gulf Oil Lubric,586.75,18.12,0.23,39.86,172.81,200.00,16.00,12.11,23.01,Nifty,OilGas,,,,
360,HPCL,326.00,3.32,1.12,70.57,262.19,"10,524.00",22.75,4.51,28.00,Nifty,OilGas,,,,
361,IOC,128.45,3.90,0.97,23.57,122.88,"20,565.00",12.00,5.65,19.34,Nifty,OilGas,,,,
362,IGL,497.10,30.59,0.00,16.75,90.49,"1,046.00",3.60,19.24,18.51,Nifty,OilGas,,,,
363,Mahanagar Gas,999.95,18.64,0.00,62.72,327.23,619.00,23.00,26.50,19.16,Nifty,OilGas,,,,
364,ONGC,157.40,7.91,0.50,12.92,192.84,"20,324.00",3.60,6.68,7.35,Nifty,OilGas,,,,
365,Oil India,220.00,3.77,0.82,32.53,228.79,"3,617.00",5.00,16.08,14.90,Nifty,OilGas,,,,
366,Petronet LNG,228.05,11.47,0.00,19.59,78.71,"2,920.00",11.50,11.22,24.89,Nifty,OilGas,,,,
367,Reliance,"2,464.00",26.23,0.32,76.37,"1,240.39","53,223.00",7.00,11.39,7.01,Nifty,OilGas,,,,
